id,username,timestamp,result,ip,user_agent,detail
b61b16c16cbd,admin,2026-08-05 01:12:45,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
3998cb4d5cfe,teacher1,2026-08-05 01:12:57,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=staff
e80a38a253a2,admin,2026-08-05 01:13:41,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
d483c90b2b46,admin,2026-08-05 01:13:46,LOGOUT,,,
1e4ef2714784,admin,2026-08-05 01:15:08,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
13423c5d1198,admin,2026-08-05 01:15:10,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
4011cff92ce1,admin,2026-08-05 01:15:23,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
eee51ff544bf,admin,2026-08-05 01:15:33,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
cd256f55e21b,admin,2026-08-05 01:15:40,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
ca406190a05f,admin,2026-08-05 01:15:47,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
